	from	to	from_name	to_name	ontology
0	cpd27638	cpd00006	NAD-P-OR-NOP	NADP	child
1	cpd27638	cpd00003	NAD-P-OR-NOP	NAD	child
2	cpd27640	cpd00004	NADH-P-OR-NOP	NADH	child
3	cpd27640	cpd00005	NADH-P-OR-NOP	NADPH	child
4	cpd22290	cpd12505	Acceptor	Electron-transferring flavoprotein	child
5	cpd22290	cpd27029	Acceptor	FERRICYTOCHROME-B5	child
6	cpd22290	cpd27005	Acceptor	ETF-Oxidized	child
7	cpd22290	cpd27638	Acceptor	NAD-P-OR-NOP	child
8	cpd22290	cpd11669	Acceptor	Q	child
9	cpd22290	cpd27012	Acceptor	ETR-Quinones	child
10	cpd22290	cpd11795	Acceptor	Ferricytochrome b5	child
11	cpd22290	cpd28301	Acceptor	Ubiquinones	child
12	cpd12505	cpd00015	Electron-transferring flavoprotein	FAD	child
13	cpd27005	cpd00015	ETF-Oxidized	FAD	child
14	cpd11669	cpd15290	Q	Ubiquinone-6	child
15	cpd11669	cpd08232	Q	Ubidecarenone	child
16	cpd11669	cpd15560	Q	Ubiquinone-8	child
17	cpd27012	cpd28301	ETR-Quinones	Ubiquinones	child
18	cpd27012	cpd11669	ETR-Quinones	Q	child
19	cpd28301	cpd15290	Ubiquinones	Ubiquinone-6	child
20	cpd28301	cpd08232	Ubiquinones	Ubidecarenone	child
21	cpd28301	cpd15560	Ubiquinones	Ubiquinone-8	child
22	cpd11609	cpd12505	A	Electron-transferring flavoprotein	child
23	cpd11609	cpd27029	A	FERRICYTOCHROME-B5	child
24	cpd11609	cpd27005	A	ETF-Oxidized	child
25	cpd11609	cpd27638	A	NAD-P-OR-NOP	child
26	cpd11609	cpd11669	A	Q	child
27	cpd11609	cpd27012	A	ETR-Quinones	child
28	cpd11609	cpd11795	A	Ferricytochrome b5	child
29	cpd11609	cpd28301	A	Ubiquinones	child
30	cpd26978	cpd28300	Donor-H2	Ubiquinols	child
31	cpd26978	cpd27640	Donor-H2	NADH-P-OR-NOP	child
32	cpd26978	cpd27031	Donor-H2	FERROCYTOCHROME-B5	child
33	cpd26978	cpd27011	Donor-H2	ETR-Quinols	child
34	cpd26978	cpd12576	Donor-H2	Reduced electron-transferring flavoprotein	child
35	cpd26978	cpd11665	Donor-H2	QH2	child
36	cpd26978	cpd27006	Donor-H2	ETF-Reduced	child
37	cpd26978	cpd11797	Donor-H2	Ferrocytochrome b5	child
38	cpd28300	cpd15561	Ubiquinols	Ubiquinol-8	child
39	cpd28300	cpd15291	Ubiquinols	Ubiquinol-6	child
40	cpd28300	cpd25915	Ubiquinols	ubiquinol(10)	child
41	cpd27011	cpd11665	ETR-Quinols	QH2	child
42	cpd27011	cpd28300	ETR-Quinols	Ubiquinols	child
43	cpd12576	cpd00982	Reduced electron-transferring flavoprotein	FADH2	child
44	cpd11665	cpd15561	QH2	Ubiquinol-8	child
45	cpd11665	cpd15291	QH2	Ubiquinol-6	child
46	cpd11665	cpd25915	QH2	ubiquinol(10)	child
47	cpd27006	cpd00982	ETF-Reduced	FADH2	child
48	cpd11610	cpd28300	AH2	Ubiquinols	child
49	cpd11610	cpd27640	AH2	NADH-P-OR-NOP	child
50	cpd11610	cpd27031	AH2	FERROCYTOCHROME-B5	child
51	cpd11610	cpd27011	AH2	ETR-Quinols	child
52	cpd11610	cpd12576	AH2	Reduced electron-transferring flavoprotein	child
53	cpd11610	cpd11665	AH2	QH2	child
54	cpd11610	cpd27006	AH2	ETF-Reduced	child
55	cpd11610	cpd11797	AH2	Ferrocytochrome b5	child
