index	id	name	hierarchy	pH	aliases
2	a0	Carboxysome	4	7	null
21	b0	Plasma Membrane	2	7	Plasma membrane
0	c0	Cytosol	3	7	cytoskeleton,cytosol,oil bodies,CCI-CYTOSOL-PL,CCO-CYTOPLASM
12	d0	Stroma	7	7	Plastid,plastid,plastidial stroma,CCO-PLASTID,CCI-CHLOROPLAST-PL,CCO-PLASTID-STR,CCI-CHLOR-STR-PL
1	e0	Extracellular	0	7	extracellular,CCI-EXTRACELLULAR-PL,CCO-MEMBRANE,CCI-PM-PLANT-PL
10	f0	ER_Membrane	5	7	null
3	g0	Golgi	4	7	Golgi body,golgi,CCI-GOLGI-PL
18	i0	Mitochondria_OMem	4	7	mitochondrial outer membrane
19	j0	Mitochondria_IMMem	4	7	mitochondrial Intermembrane Space,CCO-MIT-MEM
20	k0	Mitochondria_IMem	4	7	mitochondrial inner membrane,CCI-MIT-IMEM-PL
4	l0	Lysosome	4	2	null
5	m0	Mitochondria	4	7	mitochondria,mitochondrial matrix,CCI-MIT-PL,CCI-MIT-LUM-PL
6	n0	Nucleus	4	7	nucleus,CCI-NUCLEUS-PL
7	r0	Endoplasmic_Reticulum	4	7	endoplasm,E.R.,CCO-ER,CCO-ER-LUM
13	s0	Plastidial_OMem	4	7	plastidial outer membrane,envelope outer membrane
14	t0	Plastidial_IMMem	5	7	Plastidial Intermembrane Space,Envelope,CCO-CHLOR-MEM,CCO-PLASTID-MEM,CCO-PLASTID-ENV,CCI-CHLOR-ENV-PL
15	u0	Plastidial_IMem	6	7	plastidial inner membrane,envelope inner membrane
11	v0	Vacuole	4	7	vacuole,CCO-VACUOLE,CCO-VAC-MEM
9	w0	Cell_Wall	1	7	cell wall
8	x0	Peroxisome	4	7	peroxisome,CCI-PEROXISOME-PL
16	y0	Thylakoid	8	7	Thylakoid,CCO-CHL-THY-MEM
17	z0	Thylakoid_Lumen	9	7	CCO-CHLOR-THY


